sample-id,plot,tag,species,treatment,nutrient,time,combo,indiv
Jan2016.acr56,4H,56,ACR,C,control,T0,ACR_C_T0,ACR_56
Jan2016.acr64,2H,64,ACR,C,control,T0,ACR_C_T0,ACR_64
Jan2016.acr66,2H,66,ACR,C,control,T0,ACR_C_T0,ACR_66
Jan2016.acr68,2H,68,ACR,C,control,T0,ACR_C_T0,ACR_68
Jan2016.acr90,1H,90,ACR,C,control,T0,ACR_C_T0,ACR_90
Jan2017.acr44,4H,44,ACR,C,control,T4,ACR_C_T12,ACR_44
Jan2017.acr64,2H,64,ACR,C,control,T4,ACR_C_T12,ACR_64
Jan2017.acr66,2H,66,ACR,C,control,T4,ACR_C_T12,ACR_66
Jan2017.acr68,2H,68,ACR,C,control,T4,ACR_C_T12,ACR_68
Jan2017.acr82,3H,82,ACR,C,control,T4,ACR_C_T12,ACR_82
July2016.acr44,4H,44,ACR,C,control,T3,ACR_C_T9,ACR_44
July2016.acr56,4H,56,ACR,C,control,T3,ACR_C_T9,ACR_56
July2016.acr64,2H,64,ACR,C,control,T3,ACR_C_T9,ACR_64
July2016.acr66,2H,66,ACR,C,control,T3,ACR_C_T9,ACR_66
July2016.acr68,2H,68,ACR,C,control,T3,ACR_C_T9,ACR_68
July2016.acr82,3H,82,ACR,C,control,T3,ACR_C_T9,ACR_82
July2016.acr90,1H,90,ACR,C,control,T3,ACR_C_T9,ACR_90
March2016.acr44,4H,44,ACR,C,control,T1,ACR_C_T3,ACR_44
March2016.acr56,4H,56,ACR,C,control,T1,ACR_C_T3,ACR_56
March2016.acr64,2H,64,ACR,C,control,T1,ACR_C_T3,ACR_64
March2016.acr66,2H,66,ACR,C,control,T1,ACR_C_T3,ACR_66
March2016.acr68,2H,68,ACR,C,control,T1,ACR_C_T3,ACR_68
March2016.acr82,3H,82,ACR,C,control,T1,ACR_C_T3,ACR_82
March2016.acr90,1H,90,ACR,C,control,T1,ACR_C_T3,ACR_90
May2016.44acr,4H,44,ACR,C,control,T2,ACR_C_T6,ACR_44
May2016.56acr,4H,56,ACR,C,control,T2,ACR_C_T6,ACR_56
May2016.64acr,2H,64,ACR,C,control,T2,ACR_C_T6,ACR_64
May2016.66acr,2H,66,ACR,C,control,T2,ACR_C_T6,ACR_66
May2016.68acr,2H,68,ACR,C,control,T2,ACR_C_T6,ACR_68
May2016.82acr,3H,82,ACR,C,control,T2,ACR_C_T6,ACR_82
May2016.90acr,1H,90,ACR,C,control,T2,ACR_C_T6,ACR_90
Jan2016.acr127,2,127,ACR,N,nutrient,T0,ACR_N_T0,ACR_127
Jan2016.acr129,9,129,ACR,N,nutrient,T0,ACR_N_T0,ACR_129
Jan2016.acr134,16,134,ACR,N,nutrient,T0,ACR_N_T0,ACR_134
Jan2016.acr161,15,161,ACR,N,nutrient,T0,ACR_N_T0,ACR_161
Jan2016.acr30,12,30,ACR,N,nutrient,T0,ACR_N_T0,ACR_30
Jan2016.acr84,8,84,ACR,N,nutrient,T0,ACR_N_T0,ACR_84
Jan2017.acr127,2,127,ACR,N,nutrient,T4,ACR_N_T12,ACR_127
Jan2017.acr161,15,161,ACR,N,nutrient,T4,ACR_N_T12,ACR_161
Jan2017.acr30,12,30,ACR,N,nutrient,T4,ACR_N_T12,ACR_30
Jan2017.acr60,10,60,ACR,N,nutrient,T4,ACR_N_T12,ACR_60
Jan2017.acr84,8,84,ACR,N,nutrient,T4,ACR_N_T12,ACR_84
July2016.acr127,2,127,ACR,N,nutrient,T3,ACR_N_T9,ACR_127
July2016.acr129,9,129,ACR,N,nutrient,T3,ACR_N_T9,ACR_129
July2016.acr134,16,134,ACR,N,nutrient,T3,ACR_N_T9,ACR_134
July2016.acr161,15,161,ACR,N,nutrient,T3,ACR_N_T9,ACR_161
July2016.acr30,12,30,ACR,N,nutrient,T3,ACR_N_T9,ACR_30
July2016.acr60,10,60,ACR,N,nutrient,T3,ACR_N_T9,ACR_60
July2016.acr84,8,84,ACR,N,nutrient,T3,ACR_N_T9,ACR_84
March2016.acr127,2,127,ACR,N,nutrient,T1,ACR_N_T3,ACR_127
March2016.acr129,9,129,ACR,N,nutrient,T1,ACR_N_T3,ACR_129
March2016.acr161,15,161,ACR,N,nutrient,T1,ACR_N_T3,ACR_161
March2016.acr30,12,30,ACR,N,nutrient,T1,ACR_N_T3,ACR_30
March2016.acr60,10,60,ACR,N,nutrient,T1,ACR_N_T3,ACR_60
March2016.acr84,8,84,ACR,N,nutrient,T1,ACR_N_T3,ACR_84
May2016.127acr,2,127,ACR,N,nutrient,T2,ACR_N_T6,ACR_127
May2016.129acr,9,129,ACR,N,nutrient,T2,ACR_N_T6,ACR_129
May2016.134acr,16,134,ACR,N,nutrient,T2,ACR_N_T6,ACR_134
May2016.161acr,15,161,ACR,N,nutrient,T2,ACR_N_T6,ACR_161
May2016.30acr,12,30,ACR,N,nutrient,T2,ACR_N_T6,ACR_30
May2016.60acr,10,60,ACR,N,nutrient,T2,ACR_N_T6,ACR_60
May2016.84acr,8,84,ACR,N,nutrient,T2,ACR_N_T6,ACR_84
March2016.acr35,NA,35,ACR,NA,nutrient,T1,NA,ACR_35
Jan2016.acr135,16,135,ACR,U,nutrient,T0,ACR_U_T0,ACR_135
Jan2016.acr18,14,18,ACR,U,nutrient,T0,ACR_U_T0,ACR_18
Jan2016.acr2,17,2,ACR,U,nutrient,T0,ACR_U_T0,ACR_2
Jan2016.acr36,11,36,ACR,U,nutrient,T0,ACR_U_T0,ACR_36
Jan2016.acr62,10,62,ACR,U,nutrient,T0,ACR_U_T0,ACR_62
Jan2016.acr76,9,76,ACR,U,nutrient,T0,ACR_U_T0,ACR_76
Jan2016.acr88,8,88,ACR,U,nutrient,T0,ACR_U_T0,ACR_88
Jan2017.acr18,14,18,ACR,U,nutrient,T4,ACR_U_T12,ACR_18
Jan2017.acr36,11,36,ACR,U,nutrient,T4,ACR_U_T12,ACR_36
Jan2017.acr62,10,62,ACR,U,nutrient,T4,ACR_U_T12,ACR_62
Jan2017.acr76,9,76,ACR,U,nutrient,T4,ACR_U_T12,ACR_76
Jan2017.acr88,8,88,ACR,U,nutrient,T4,ACR_U_T12,ACR_88
July2016.acr135,16,135,ACR,U,nutrient,T3,ACR_U_T9,ACR_135
July2016.acr18,14,18,ACR,U,nutrient,T3,ACR_U_T9,ACR_18
July2016.acr2,17,2,ACR,U,nutrient,T3,ACR_U_T9,ACR_2
July2016.acr36,11,36,ACR,U,nutrient,T3,ACR_U_T9,ACR_36
July2016.acr62,10,62,ACR,U,nutrient,T3,ACR_U_T9,ACR_62
July2016.acr76,9,76,ACR,U,nutrient,T3,ACR_U_T9,ACR_76
July2016.acr88,8,88,ACR,U,nutrient,T3,ACR_U_T9,ACR_88
March2016.acr18,14,18,ACR,U,nutrient,T1,ACR_U_T3,ACR_18
March2016.acr2,17,2,ACR,U,nutrient,T1,ACR_U_T3,ACR_2
March2016.acr36,11,36,ACR,U,nutrient,T1,ACR_U_T3,ACR_36
March2016.acr62,10,62,ACR,U,nutrient,T1,ACR_U_T3,ACR_62
March2016.acr76,9,76,ACR,U,nutrient,T1,ACR_U_T3,ACR_76
March2016.acr88,8,88,ACR,U,nutrient,T1,ACR_U_T3,ACR_88
May2016.135acr,16,135,ACR,U,nutrient,T2,ACR_U_T6,ACR_135
May2016.18acr,14,18,ACR,U,nutrient,T2,ACR_U_T6,ACR_18
May2016.2acr,17,2,ACR,U,nutrient,T2,ACR_U_T6,ACR_2
May2016.36acr,11,36,ACR,U,nutrient,T2,ACR_U_T6,ACR_36
May2016.62acr,10,62,ACR,U,nutrient,T2,ACR_U_T6,ACR_62
May2016.76acr,9,76,ACR,U,nutrient,T2,ACR_U_T6,ACR_76
May2016.88acr,8,88,ACR,U,nutrient,T2,ACR_U_T6,ACR_88
