sample-id,plot,tag,species,treatment,nutrient,time,combo,indiv
Jan2016.acr56,4H,56,ACR,C,control,T0,ACR_C_T0,ACR_56
Jan2016.acr64,2H,64,ACR,C,control,T0,ACR_C_T0,ACR_64
Jan2016.acr66,2H,66,ACR,C,control,T0,ACR_C_T0,ACR_66
Jan2016.acr68,2H,68,ACR,C,control,T0,ACR_C_T0,ACR_68
Jan2016.acr90,1H,90,ACR,C,control,T0,ACR_C_T0,ACR_90
Jan2016.poc105,1H,105,POC,C,control,T0,POC_C_T0,POC_105
Jan2016.poc148,X,148,POC,C,control,T0,POC_C_T0,POC_148
Jan2016.poc154,U,154,POR,C,control,T0,POR_C_T0,POR_154
Jan2016.poc43,4H,43,POC,C,control,T0,POC_C_T0,POC_43
Jan2016.poc55,4H,55,POC,C,control,T0,POC_C_T0,POC_55
Jan2016.poc67,2H,67,POC,C,control,T0,POC_C_T0,POC_67
Jan2016.por154,U,154,POC,C,control,T0,POC_C_T0,POC_154
Jan2017.acr44,4H,44,ACR,C,control,T4,ACR_C_T12,ACR_44
Jan2017.acr64,2H,64,ACR,C,control,T4,ACR_C_T12,ACR_64
Jan2017.acr66,2H,66,ACR,C,control,T4,ACR_C_T12,ACR_66
Jan2017.acr68,2H,68,ACR,C,control,T4,ACR_C_T12,ACR_68
Jan2017.acr82,3H,82,ACR,C,control,T4,ACR_C_T12,ACR_82
Jan2017.poc105,1H,105,POC,C,control,T4,POC_C_T12,POC_105
Jan2017.poc148,X,148,POC,C,control,T4,POC_C_T12,POC_148
Jan2017.poc154,U,154,POC,C,control,T4,POC_C_T12,POC_154
Jan2017.poc43,4H,43,POC,C,control,T4,POC_C_T12,POC_43
Jan2017.poc67,2H,67,POC,C,control,T4,POC_C_T12,POC_67
Jan2017.poc81,3H,81,POC,C,control,T4,POC_C_T12,POC_81
Jan2017.por154,U,154,POR,C,control,T4,POR_C_T12,POR_154
Jan2017.por260,S,260,POR,C,control,T4,POR_C_T12,POR_260
Jan2017.por271,T,271,POR,C,control,T4,POR_C_T12,POR_271
Jan2017.por275,G,275,POR,C,control,T4,POR_C_T12,POR_275
Jan2017.por276,H,276,POR,C,control,T4,POR_C_T12,POR_276
Jan2017.por280,I,280,POR,C,control,T4,POR_C_T12,POR_280
Jan2017.por291,T,291,POR,C,control,T4,POR_C_T12,POR_291
July2016.acr44,4H,44,ACR,C,control,T3,ACR_C_T9,ACR_44
July2016.acr56,4H,56,ACR,C,control,T3,ACR_C_T9,ACR_56
July2016.acr64,2H,64,ACR,C,control,T3,ACR_C_T9,ACR_64
July2016.acr66,2H,66,ACR,C,control,T3,ACR_C_T9,ACR_66
July2016.acr68,2H,68,ACR,C,control,T3,ACR_C_T9,ACR_68
July2016.acr82,3H,82,ACR,C,control,T3,ACR_C_T9,ACR_82
July2016.acr90,1H,90,ACR,C,control,T3,ACR_C_T9,ACR_90
July2016.poc105,1H,105,POC,C,control,T3,POC_C_T9,POC_105
July2016.poc148,X,148,POC,C,control,T3,POC_C_T9,POC_148
July2016.poc154,U,154,POC,C,control,T3,POC_C_T9,POC_154
July2016.poc43,4H,43,POC,C,control,T3,POC_C_T9,POC_43
July2016.poc55,4H,55,POC,C,control,T3,POC_C_T9,POC_55
July2016.poc67,2H,67,POC,C,control,T3,POC_C_T9,POC_67
July2016.poc81,3H,81,POC,C,control,T3,POC_C_T9,POC_81
July2016.por154,U,154,POR,C,control,T3,POR_C_T9,POR_154
July2016.por260,S,260,POR,C,control,T3,POR_C_T9,POR_260
July2016.por271,T,271,POR,C,control,T3,POR_C_T9,POR_271
July2016.por275,G,275,POR,C,control,T3,POR_C_T9,POR_275
July2016.por276,H,276,POR,C,control,T3,POR_C_T9,POR_276
July2016.por280,I,280,POR,C,control,T3,POR_C_T9,POR_280
July2016.por291,T,291,POR,C,control,T3,POR_C_T9,POR_291
March2016.acr44,4H,44,ACR,C,control,T1,ACR_C_T3,ACR_44
March2016.acr56,4H,56,ACR,C,control,T1,ACR_C_T3,ACR_56
March2016.acr64,2H,64,ACR,C,control,T1,ACR_C_T3,ACR_64
March2016.acr66,2H,66,ACR,C,control,T1,ACR_C_T3,ACR_66
March2016.acr68,2H,68,ACR,C,control,T1,ACR_C_T3,ACR_68
March2016.acr82,3H,82,ACR,C,control,T1,ACR_C_T3,ACR_82
March2016.acr90,1H,90,ACR,C,control,T1,ACR_C_T3,ACR_90
March2016.poc105,1H,105,POC,C,control,T1,POC_C_T3,POC_105
March2016.poc148,X,148,POC,C,control,T1,POC_C_T3,POC_148
March2016.poc154,U,154,POC,C,control,T1,POC_C_T3,POC_154
March2016.poc43,4H,43,POC,C,control,T1,POC_C_T3,POC_43
March2016.poc55,4H,55,POC,C,control,T1,POC_C_T3,POC_55
March2016.poc67,2H,67,POC,C,control,T1,POC_C_T3,POC_67
March2016.poc81,3H,81,POC,C,control,T1,POC_C_T3,POC_81
March2016.por154,U,154,POR,C,control,T1,POR_C_T3,POR_154
March2016.por260,S,260,POR,C,control,T1,POR_C_T3,POR_260
March2016.por271,T,271,POR,C,control,T1,POR_C_T3,POR_271
March2016.por276,H,276,POR,C,control,T1,POR_C_T3,POR_276
March2016.por280,I,280,POR,C,control,T1,POR_C_T3,POR_280
March2016.por291,T,291,POR,C,control,T1,POR_C_T3,POR_291
May2016.105poc,1H,105,POC,C,control,T2,POC_C_T6,POC_105
May2016.148poc,X,148,POC,C,control,T2,POC_C_T6,POC_148
May2016.154poc,U,154,POC,C,control,T2,POC_C_T6,POC_154
May2016.154por,U,154,POR,C,control,T2,POR_C_T6,POR_154
May2016.260por,S,260,POR,C,control,T2,POR_C_T6,POR_260
May2016.271por,T,271,POR,C,control,T2,POR_C_T6,POR_271
May2016.275por,G,275,POR,C,control,T2,POR_C_T6,POR_275
May2016.276por,H,276,POR,C,control,T2,POR_C_T6,POR_276
May2016.280por,I,280,POR,C,control,T2,POR_C_T6,POR_280
May2016.291por,T,291,POR,C,control,T2,POR_C_T6,POR_291
May2016.43poc,4H,43,POC,C,control,T2,POC_C_T6,POC_43
May2016.44acr,4H,44,ACR,C,control,T2,ACR_C_T6,ACR_44
May2016.55poc,4H,55,POC,C,control,T2,POC_C_T6,POC_55
May2016.56acr,4H,56,ACR,C,control,T2,ACR_C_T6,ACR_56
May2016.64acr,2H,64,ACR,C,control,T2,ACR_C_T6,ACR_64
May2016.66acr,2H,66,ACR,C,control,T2,ACR_C_T6,ACR_66
May2016.67poc,2H,67,POC,C,control,T2,POC_C_T6,POC_67
May2016.68acr,2H,68,ACR,C,control,T2,ACR_C_T6,ACR_68
May2016.81poc,3H,81,POC,C,control,T2,POC_C_T6,POC_81
May2016.82acr,3H,82,ACR,C,control,T2,ACR_C_T6,ACR_82
May2016.90acr,1H,90,ACR,C,control,T2,ACR_C_T6,ACR_90
Jan2016.acr127,2,127,ACR,N,nutrient,T0,ACR_N_T0,ACR_127
Jan2016.acr129,9,129,ACR,N,nutrient,T0,ACR_N_T0,ACR_129
Jan2016.acr134,16,134,ACR,N,nutrient,T0,ACR_N_T0,ACR_134
Jan2016.acr161,15,161,ACR,N,nutrient,T0,ACR_N_T0,ACR_161
Jan2016.acr30,12,30,ACR,N,nutrient,T0,ACR_N_T0,ACR_30
Jan2016.acr84,8,84,ACR,N,nutrient,T0,ACR_N_T0,ACR_84
Jan2016.poc120,3,120,POC,N,nutrient,T0,POC_N_T0,POC_120
Jan2016.poc125,1,125,POC,N,nutrient,T0,POC_N_T0,POC_125
Jan2016.poc220,P,220,POC,N,nutrient,T0,POC_N_T0,POC_220
Jan2016.poc231,D,231,POC,N,nutrient,T0,POC_N_T0,POC_231
Jan2016.poc236,C,236,POR,N,nutrient,T0,POR_N_T0,POR_236
Jan2016.poc59,10,59,POC,N,nutrient,T0,POC_N_T0,POC_59
Jan2017.294,E,294,POR,N,nutrient,T4,POR_N_T12,POR_294
Jan2017.acr127,2,127,ACR,N,nutrient,T4,ACR_N_T12,ACR_127
Jan2017.acr161,15,161,ACR,N,nutrient,T4,ACR_N_T12,ACR_161
Jan2017.acr30,12,30,ACR,N,nutrient,T4,ACR_N_T12,ACR_30
Jan2017.acr60,10,60,ACR,N,nutrient,T4,ACR_N_T12,ACR_60
Jan2017.acr84,8,84,ACR,N,nutrient,T4,ACR_N_T12,ACR_84
Jan2017.poc120,3,120,POC,N,nutrient,T4,POC_N_T12,POC_120
Jan2017.poc125,1,125,POC,N,nutrient,T4,POC_N_T12,POC_125
Jan2017.poc220,P,220,POC,N,nutrient,T4,POC_N_T12,POC_220
Jan2017.poc231,D,231,POC,N,nutrient,T4,POC_N_T12,POC_231
Jan2017.poc236,C,236,POC,N,nutrient,T4,POC_N_T12,POC_236
Jan2017.poc59,10,59,POC,N,nutrient,T4,POC_N_T12,POC_59
Jan2017.por215,O,215,POR,N,nutrient,T4,POR_N_T12,POR_215
Jan2017.por220,P,220,POR,N,nutrient,T4,POR_N_T12,POR_220
Jan2017.por231,D,231,POR,N,nutrient,T4,POR_N_T12,POR_231
Jan2017.por236,C,236,POR,N,nutrient,T4,POR_N_T12,POR_236
Jan2017.por240,B,240,POR,N,nutrient,T4,POR_N_T12,POR_240
Jan2017.por267,N,267,POR,N,nutrient,T4,POR_N_T12,POR_267
Jan2017.por294,E,294,POC,N,nutrient,T4,POC_N_T12,POC_294
July2016.220.1,P,220,POC,N,nutrient,T3,POC_N_T9,POC_220
July2016.220.2,P,220,POR,N,nutrient,T3,POR_N_T9,POR_220
July2016.294.1,E,294,POC,N,nutrient,T3,POC_N_T9,POC_294
July2016.294.2,E,294,POR,N,nutrient,T3,POR_N_T9,POR_294
July2016.acr127,2,127,ACR,N,nutrient,T3,ACR_N_T9,ACR_127
July2016.acr129,9,129,ACR,N,nutrient,T3,ACR_N_T9,ACR_129
July2016.acr134,16,134,ACR,N,nutrient,T3,ACR_N_T9,ACR_134
July2016.acr161,15,161,ACR,N,nutrient,T3,ACR_N_T9,ACR_161
July2016.acr30,12,30,ACR,N,nutrient,T3,ACR_N_T9,ACR_30
July2016.acr60,10,60,ACR,N,nutrient,T3,ACR_N_T9,ACR_60
July2016.acr84,8,84,ACR,N,nutrient,T3,ACR_N_T9,ACR_84
July2016.poc120,3,120,POC,N,nutrient,T3,POC_N_T9,POC_120
July2016.poc125,1,125,POC,N,nutrient,T3,POC_N_T9,POC_125
July2016.poc231,D,231,POC,N,nutrient,T3,POC_N_T9,POC_231
July2016.poc236,C,236,POC,N,nutrient,T3,POC_N_T9,POC_236
July2016.poc59,10,59,POC,N,nutrient,T3,POC_N_T9,POC_59
July2016.por215,O,215,POR,N,nutrient,T3,POR_N_T9,POR_215
July2016.por231,D,231,POR,N,nutrient,T3,POR_N_T9,POR_231
July2016.por236,C,236,POR,N,nutrient,T3,POR_N_T9,POR_236
July2016.por240,B,240,POR,N,nutrient,T3,POR_N_T9,POR_240
July2016.por267,N,267,POR,N,nutrient,T3,POR_N_T9,POR_267
March2016.acr127,2,127,ACR,N,nutrient,T1,ACR_N_T3,ACR_127
March2016.acr129,9,129,ACR,N,nutrient,T1,ACR_N_T3,ACR_129
March2016.acr161,15,161,ACR,N,nutrient,T1,ACR_N_T3,ACR_161
March2016.acr30,12,30,ACR,N,nutrient,T1,ACR_N_T3,ACR_30
March2016.acr60,10,60,ACR,N,nutrient,T1,ACR_N_T3,ACR_60
March2016.acr84,8,84,ACR,N,nutrient,T1,ACR_N_T3,ACR_84
